"Replication","Seed","Time_Seconds","Error_Rate","Error_SD"
1,714,2.16245818138123,0.23943661971831,NA
2,715,2.08595490455627,0.23943661971831,NA
3,716,2.37537598609924,0.28169014084507,NA
4,717,2.02737712860107,0.253521126760563,NA
5,718,2.00771188735962,0.23943661971831,NA
6,719,7.84860491752625,0.352112676056338,NA
7,720,2.14804005622864,0.28169014084507,NA
8,721,2.00907707214355,0.211267605633803,NA
9,722,2.01759815216064,0.225352112676056,NA
10,723,2.0271430015564,0.253521126760563,NA
11,724,2.02847099304199,0.28169014084507,NA
12,725,2.02628397941589,0.253521126760563,NA
13,726,2.00737309455872,0.28169014084507,NA
14,727,1.97668099403381,0.211267605633803,NA
15,728,2.0064640045166,0.267605633802817,NA
16,729,1.9967520236969,0.295774647887324,NA
17,730,2.03104496002197,0.338028169014085,NA
18,731,2.00696802139282,0.267605633802817,NA
19,732,2.01891088485718,0.225352112676056,NA
20,733,1.99502778053284,0.309859154929577,NA
21,734,2.11865186691284,0.23943661971831,NA
22,735,2.03046107292175,0.309859154929577,NA
23,736,1.99455618858337,0.309859154929577,NA
24,737,2.9185779094696,0.323943661971831,NA
25,738,2.03438878059387,0.253521126760563,NA
26,739,2.02911305427551,0.253521126760563,NA
27,740,2.78873610496521,0.323943661971831,NA
28,741,2.02351689338684,0.323943661971831,NA
29,742,4.05830788612366,0.323943661971831,NA
30,743,2.47753095626831,0.295774647887324,NA
31,744,1.98622608184814,0.267605633802817,NA
32,745,1.99995493888855,0.309859154929577,NA
33,746,1.98366522789001,0.211267605633803,NA
34,747,2.06862592697144,0.23943661971831,NA
35,748,1.99081301689148,0.28169014084507,NA
36,749,2.17742490768433,0.309859154929577,NA
37,750,2.00506401062012,0.267605633802817,NA
38,751,2.57807803153992,0.295774647887324,NA
39,752,2.13184499740601,0.28169014084507,NA
40,753,2.02558493614197,0.253521126760563,NA
41,754,2.01281499862671,0.267605633802817,NA
42,755,2.00362491607666,0.28169014084507,NA
43,756,2.00074315071106,0.267605633802817,NA
44,757,2.00783586502075,0.253521126760563,NA
45,758,5.33642315864563,0.380281690140845,NA
46,759,1.99829888343811,0.23943661971831,NA
47,760,2.53838896751404,0.253521126760563,NA
48,761,1.98532700538635,0.28169014084507,NA
49,762,2.01335906982422,0.267605633802817,NA
50,763,2.01390695571899,0.253521126760563,NA
51,764,2.00549101829529,0.253521126760563,NA
52,765,2.34414386749268,0.295774647887324,NA
53,766,2.00176095962524,0.225352112676056,NA
54,767,2.00345611572266,0.295774647887324,NA
55,768,2.98599100112915,0.323943661971831,NA
56,769,2.57347822189331,0.323943661971831,NA
57,770,2.01235318183899,0.338028169014085,NA
58,771,2.01492381095886,0.23943661971831,NA
59,772,2.25932502746582,0.253521126760563,NA
60,773,1.99640703201294,0.267605633802817,NA
61,774,2.0068838596344,0.309859154929577,NA
62,775,1.98669099807739,0.28169014084507,NA
63,776,2.0335259437561,0.267605633802817,NA
64,777,2.91720795631409,0.267605633802817,NA
65,778,2.01721096038818,0.225352112676056,NA
66,779,1.98044395446777,0.253521126760563,NA
67,780,2.0133810043335,0.211267605633803,NA
68,781,2.01553583145142,0.253521126760563,NA
69,782,2.00750803947449,0.267605633802817,NA
70,783,2.00066900253296,0.295774647887324,NA
71,784,1.98640608787537,0.338028169014085,NA
72,785,2.00162696838379,0.309859154929577,NA
73,786,2.00270009040833,0.309859154929577,NA
74,787,2.12006306648254,0.225352112676056,NA
75,788,2.02612400054932,0.23943661971831,NA
76,789,1.99902296066284,0.197183098591549,NA
77,790,2.02561497688293,0.338028169014085,NA
78,791,1.99299097061157,0.23943661971831,NA
79,792,1.98753905296326,0.267605633802817,NA
80,793,2.00785398483276,0.225352112676056,NA
81,794,1.96778607368469,0.23943661971831,NA
82,795,2.10054612159729,0.28169014084507,NA
83,796,1.97935390472412,0.225352112676056,NA
84,797,1.99388098716736,0.23943661971831,NA
85,798,2.16776013374329,0.23943661971831,NA
86,799,2.05747485160828,0.225352112676056,NA
87,800,2.01136708259583,0.323943661971831,NA
88,801,2.03638386726379,0.267605633802817,NA
89,802,2.07678413391113,0.211267605633803,NA
90,803,2.05090498924255,0.267605633802817,NA
91,804,3.5544228553772,0.28169014084507,NA
92,805,2.12883496284485,0.253521126760563,NA
93,806,2.0369439125061,0.253521126760563,NA
94,807,2.41059589385986,0.28169014084507,NA
95,808,2.01865983009338,0.253521126760563,NA
96,809,1.9810938835144,0.253521126760563,NA
97,810,1.99001097679138,0.28169014084507,NA
98,811,1.98705196380615,0.253521126760563,NA
99,812,1.98807311058044,0.23943661971831,NA
100,813,2.02745294570923,0.253521126760563,NA
NA,NA,222.026876211166,0.27,0.0365339837077642
